2021-11-30 10:46:17,566 INFO Connecting to 127.0.0.1:7497 with clientId 1...
2021-11-30 10:46:17,567 INFO Connected
2021-11-30 10:46:17,570 INFO Logged on to server version 152
2021-11-30 10:46:17,603 INFO API connection ready
2021-11-30 10:46:26,218 INFO Warning 165, reqId 124: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:26,219 ERROR Error 162, reqId 124: Historical Market Data Service error message:API scanner subscription cancelled: 124
2021-11-30 10:46:26,765 INFO Warning 165, reqId 125: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:26,766 ERROR Error 162, reqId 125: Historical Market Data Service error message:API scanner subscription cancelled: 125
2021-11-30 10:46:27,323 INFO Warning 165, reqId 126: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:27,324 ERROR Error 162, reqId 126: Historical Market Data Service error message:API scanner subscription cancelled: 126
2021-11-30 10:46:27,865 INFO Warning 165, reqId 127: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:27,865 ERROR Error 162, reqId 127: Historical Market Data Service error message:API scanner subscription cancelled: 127
2021-11-30 10:46:28,427 INFO Warning 165, reqId 128: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:28,428 ERROR Error 162, reqId 128: Historical Market Data Service error message:API scanner subscription cancelled: 128
2021-11-30 10:46:28,975 INFO Warning 165, reqId 129: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:28,976 ERROR Error 162, reqId 129: Historical Market Data Service error message:API scanner subscription cancelled: 129
2021-11-30 10:46:29,539 INFO Warning 165, reqId 130: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:29,540 ERROR Error 162, reqId 130: Historical Market Data Service error message:API scanner subscription cancelled: 130
2021-11-30 10:46:30,081 INFO Warning 165, reqId 131: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:30,082 ERROR Error 162, reqId 131: Historical Market Data Service error message:API scanner subscription cancelled: 131
2021-11-30 10:46:30,643 INFO Warning 165, reqId 132: Historical Market Data Service query message:no items retrieved
